title,datetime
ANA、能登半島地震でマイル寄付受付　ふるさと納税も,2024年1月5日
JAL、あすの羽田発ロンドン・パリ行きを成田・中部経由に　滑走路の離陸性能制限で,2024年1月5日
ANA、1月8日以降の羽田空港発着便は全便運航,2024年1月5日
JAL、東京/成田〜札幌/千歳線で臨時便　1月6日と7日に計7便,2024年1月5日
ANA、東京/成田〜札幌/千歳・大阪/伊丹・福岡線で臨時便　1月7日に13便,2024年1月5日
ANA、1月7日は96便を欠航　羽田空港滑走路閉鎖の影響,2024年1月5日
アラスカ航空、ボーイング737-8型機を初受領,2024年1月5日
エア・ドゥ、新千歳空港での空席待ちを中止,2024年1月5日
カタール航空、「お年玉ギフトキャンペーン」開催　モデルプレーンなどプレゼント,2024年1月5日
エミレーツ航空、ソウル/仁川〜ドバイ線を増便　2月19日から週10往復,2024年1月5日
スカイマーク、1便を欠航　特別取り扱い延長,2024年1月5日
ANA、あす1月6日は96便を欠航　羽田空港滑走路閉鎖の影響,2024年1月5日
ANA、東京/成田〜札幌/千歳・大阪/伊丹・福岡線で臨時便　1月5日〜6日に計24便,2024年1月5日
JR北海道、札幌〜函館駅間で臨時特急1往復　東京行き臨時「はやて」に接続,2024年1月5日
ANA、東京/成田〜札幌/千歳・大阪/伊丹・福岡線で臨時便,2024年1月5日
スターフライヤー、夏スケジュールの航空券を1月31日発売開始,2024年1月5日
JAL、きょうの羽田発ロンドン・パリ行きを成田経由に　滑走路の離陸性能制限で,2024年1月5日
JAL、羽田空港での空席待ちを8日まで全路線で中止,2024年1月4日
ANA、きょう103便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
ANA、あす5日は98便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
JAL、あす5日は102便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
JAL、きょう91便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
ANA、東京/羽田〜能登線を24日まで欠航,2024年1月4日
ANA、航空券の特別取り扱いを延長　羽田発着便は8日まで,2024年1月4日
能登空港、24日まで終日欠航を決める,2024年1月4日
JAL、きょう82便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
スカイマーク、9便を欠航　羽田発着便で出発時刻調整を実施,2024年1月4日
JAL、札幌/千歳〜東京/成田線で臨時便　きょう1便、350-900で,2024年1月4日
ANA、きょう95便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
スカイマーク、航空券の特別取り扱い実施　5日搭乗分まで,2024年1月4日
スカイマーク、2便を欠航　羽田発着便で出発時刻調整を実施,2024年1月4日
チェジュ航空、日韓線で「700円航空券セール」開催,2024年1月4日
ANA、あす5日も航空券の特別取り扱い実施　無手数料で振替・払戻対応,2024年1月4日
スプリング・ジャパン、航空券の特別対応実施　3月30日搭乗分まで対象,2024年1月4日
JAL、きょう66便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
JAL、営業損失約150億円を計上へ　エアバスA350-900型機全損,2024年1月4日
カタール航空、新春お年玉キャンペーン　最大12％オフ,2024年1月4日
JAL、羽田発ロンドン行き深夜便を中部経由に　滑走路の離陸性能制限で,2024年1月4日
スカイマーク、きょうは通常運航を予定,2024年1月4日
ANA、きょう65便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
航空各社、特別対応を延長　無手数料で変更や払い戻し,2024年1月4日
ANA、きょう37便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
JAL、東京/羽田〜沖縄/那覇線で臨時便　きょう4日に1往復,2024年1月4日
ANA、3日は120便を欠航　羽田空港滑走路閉鎖の影響,2024年1月4日
炎上のJAL機、ペットを搭載　受託手荷物は約200個、貨物郵便はなし,2024年1月3日
エア・ドゥ、航空券の特別対応を実施,2024年1月3日
ANA、あす4日も航空券の特別対応を実施,2024年1月3日
JAL、羽田空港での空席待ちを4日も全路線で中止,2024年1月3日
JAL、羽田発ロンドン・パリ行きを成田経由に　滑走路の離陸性能制限で,2024年1月3日
スカイマーク、航空券の特別取り扱い実施　4日搭乗分まで,2024年1月3日
JAL、「2024新春！JALお年玉企画」を中止,2024年1月3日
運輸安全委員会、調査官を派遣　羽田空港事故,2024年1月3日
JAL、きょうの羽田空港での空席待ちを全路線中止　申し込み済みも無効に,2024年1月3日
ANA、国内線で臨時便3便を追加設定　計12便に,2024年1月3日
ANA、国内線で臨時便9便を設定,2024年1月3日
ZIPAIR Tokyo、8機目が日本に到着　旧JAL機を改修,2024年1月3日
スターフライヤー、航空券の特別対応実施　1便を欠航,2024年1月3日
ソラシドエア、航空券の特別対応を実施　1便を欠航,2024年1月3日
エア・ドゥ、きょう全便で空席待ち受付を中止　7便を欠航,2024年1月3日
JAL、きょう44便を欠航　羽田空港滑走路閉鎖の影響,2024年1月3日
JALグループ、航空券の特別対応実施　3月末搭乗分まで対象,2024年1月3日
スカイマーク、きょうの4便を欠航　羽田空港滑走路閉鎖の影響,2024年1月3日
ANA、きょう55便を欠航　羽田空港滑走路閉鎖の影響,2024年1月3日
炎上のJAL機、脱出時に機内アナウンスシステムが作動せず　安全な3か所の出口から全員脱出,2024年1月3日
エアバス、「当局の調査に技術支援を提供」　JAL機火災事故で,2024年1月3日
ANA、羽田発の国際線運航再開　3便欠航,2024年1月2日
羽田空港、滑走路の運用を再開,2024年1月2日
ANA、3日の羽田発着全便を無手数料で振替・払戻対応,2024年1月2日
【速報】羽田空港でJAL機が炎上、海上保安庁機が衝突か　乗員乗客全員脱出,2024年1月2日
ANA、東京/羽田〜能登線を4日まで欠航,2024年1月2日
JAL、大阪/伊丹〜新潟線で臨時便　きょう1往復,2024年1月2日
ANA、東京/羽田〜小松・富山線の機材大型化　小松に777-300型機,2024年1月2日
JAL、東京/羽田〜小松線で臨時便　あす3日に1往復,2024年1月2日
北陸鉄道、小松空港発着バスの運休撤回,2024年1月2日
ANA、福岡〜小松線で臨時便　きょう1往復,2024年1月2日
ANA、能登発着便以外は通常運航　羽田〜小松線は機材大型化も,2024年1月2日
JAL、東京/羽田〜小松線で臨時便　767で1往復,2024年1月2日
能登空港、滑走路に長さ10メートル以上のひび複数,2024年1月2日
ANA、東京/羽田〜小松線で臨時便　787で1往復,2024年1月2日
能登空港、きょうの全便欠航,2024年1月2日
ジェットスター・ジャパン、あすはほぼ通常運航　労組ストライキ中止で,2024年1月1日
タイガーエア・台湾、台北発新潟行き便を引き返し,2024年1月1日
ジェットスター労組、ストライキ中止　地震の影響,2024年1月1日
JAL、能登地方地震の影響で小松・新潟発着便を欠航,2024年1月1日
ANA、能登・庄内・新潟・小松発着便の一部欠航　地震の影響,2024年1月1日
中国南方航空、名古屋/中部〜大連線の運航曜日を変更,2024年1月1日
"ピーチ、「NEW YEAR SALE」開催　片道2,024円から",2024年1月1日
"北九州空港、往復航空券と宿泊のDP購入者に4,000円クーポンを配布",2024年1月1日
フィンエアー、欧州行きのセール延長　総額16万円台から,2024年1月1日
2024年はどうなる？　旅行業界激動の2023年を10本の人気記事で振り返る【コラム】,2023年12月31日
新千歳空港、降雪の影響で51便欠航　午後8時時点,2023年12月31日
ジェットスター・ジャパン、指名ストライキ　元日は20名,2023年12月31日
新千歳空港、降雪の影響で40便欠航　午後6時時点,2023年12月31日
JTA、航空機整備の廃材をアップサイクルしたキーホルダーを機内販売,2023年12月31日
ジェットスター・ジャパン、きょうの欠航大幅増　計22便、約2割が欠航,2023年12月31日
ジェットスター・ジャパン、元日は13便を欠航　欠航率約9％,2023年12月31日
アシアナ航空、東京/成田〜ソウル/仁川線にボーイング747-400型機を投入　1月3日から,2023年12月31日
中国南方航空、東京/成田〜大連線を増便　2月1日から1日1往復,2023年12月31日
イベリア航空、地上職員のストライキで461便を欠航に,2023年12月31日
ジェットスター・ジャパン、整備で2便欠航,2023年12月31日
ZIPAIR Tokyo、8機目を導入　旧JAL機,2023年12月31日
エアアジアX、アルマトイ就航　2024年3月14日から週4往復,2023年12月31日
エティハド航空、欧州行きでウインターセール　総額11万円台から,2023年12月31日
フィンエアー、ビジネスクラスの手荷物規定変更　12月11日発券分から,2023年12月30日
ジェットスター労組、交渉また決裂　一定の譲歩も事務所の貸与で合意できず,2023年12月30日
ジェットスター・ジャパン、指名ストライキ　31日は23名,2023年12月30日
JAL、東京/羽田〜沖縄/那覇線で臨時便　ジェットスターのストで,2023年12月30日
ジェットスター・ジャパン、あす31日は13便を欠航　JALが臨時便、欠航率約12％,2023年12月30日
ジェットスター・ジャパン、あす31日は13便を欠航　JALが臨時便、欠航率約12％,2023年12月30日
スイス・インターナショナル・エアラインズ、来夏スケジュールで欧州内ネットワーク強化,2023年12月30日
グレーターベイ航空、東京/成田〜香港線を増便　段階的に1日2往復に,2023年12月30日
ソラシドエア、夏スケジュールの航空券を2024年1月31日発売開始,2023年12月30日
エティハド航空とモルディビアン航空、インターライン契約を締結,2023年12月30日
ジェットスター労組、30日以降もスト継続　会社との交渉決裂,2023年12月30日
ANA、東京/羽田〜大阪/関西線で臨時便　12月30日に1便,2023年12月29日
JAL、東京/羽田〜鹿児島線で臨時便　ジェットスターのストで,2023年12月29日
スプリング・ジャパン、東京/成田〜札幌/千歳線で臨時便　30日に1往復2便、ジェットスターのストで,2023年12月29日
ジェットスター・ジャパン、あす30日は8便を欠航　JALとスプリングが臨時便,2023年12月29日
マレーシア航空、ハッピーホリディセールを開始　往復総額6万円台から,2023年12月29日
スターラックス航空、函館〜台北/桃園線を夏スケジュールは週5往復運航,2023年12月29日
スターフライヤー、オリジナルチョコレートを一般販売,2023年12月29日
