title,datetime
ANA、羽生結弦選手のオフィシャルグッズ第5弾を9月1日販売開始,2023年8月30日
エミレーツ航空、羽田空港と東京駅・品川駅を結ぶ無料バスサービス開始,2023年8月30日
エアソウル、高松〜ソウル/仁川線の期間増便　9月28日〜10月11日、1日2往復,2023年8月30日
ANA、東京/成田〜ホノルル線を1日2往復に　エアバスA380型機、初のダブルデイリー化,2023年8月30日
ANA、777-300ER「イーブイジェットNH」公開　格納庫でポケモンがダンス披露,2023年8月30日
JAL、ベンガルール・ケンペゴウダ国際空港の発着をターミナル2に変更　8月31日から,2023年8月30日
リヤド・エア、人材育成でカレッジ・オブ・エクセレンスと連携,2023年8月30日
キャセイパシフィック航空、全世界のラウンジ営業再開,2023年8月30日
"スクート、東南アジア路線でセール　片道17,000円から",2023年8月30日
エアソウル、高松発ソウル/仁川行きを2名以上の利用で1名分キャッシュバック　先着100名限定,2023年8月30日
エティハド航空、欧州6都市行きで冬先取りセール　総額11万円台から,2023年8月29日
デルタ航空、東京/羽田〜ホノルル線の運航開始を発表　10月28日から1日1往復,2023年8月29日
"ANA、8月31日〜9月6日搭乗分「トクたびマイル」設定　東京/羽田〜名古屋/中部・大阪/伊丹線3,000マイルなど",2023年8月29日
JAL、東京/羽田～福岡線にボーイング777-300ER型機投入　国際線仕様、ファーストクラスのサービス実施,2023年8月29日
「破綻後の社員の結束が強まった」　JAL式ラジオ体操、取り組み10年,2023年8月29日
カタール航空、ドーハ〜ニューヨーク/JFK線を増便　10月30日から1日3往復,2023年8月29日
ソラシドエア、東京/羽田〜沖縄/那覇線で臨時便　9月に12便,2023年8月29日
ソラシドエア、ウェブサイトに仮想待合室を導入,2023年8月28日
エチオピア航空、東京/成田〜ソウル/仁川〜アディスアベバ線にエアバスA350-900型機を投入へ,2023年8月28日
キャセイパシフィック航空、台北行きで特別運賃　往復総額4.3万円台から,2023年8月28日
オリエンタルエアブリッジ、元社員が機密情報持ち出し,2023年8月28日
ソラシドエア、東京/羽田〜長崎線で早朝夜間臨時便　9月にも4便,2023年8月28日
エバー航空、羽田発着便にボーイング787-10型機を投入　8月22日〜10月28日,2023年8月28日
キャセイパシフィック航空、海外発のフライトに初めてSAFを使用,2023年8月28日
ANA Mall、マイル利用分の10％を還元　10月2日まで,2023年8月27日
ピーチ、「国際線 秋冬ぶっ飛びセール」開催　最大40％オフ,2023年8月27日
タイ・ベトジェットエア、大阪/関西〜台北/桃園〜バンコク/スワンナプーム線を開設　9月27日から週4往復,2023年8月27日
シンガポール航空、シンガポール〜パース線を増便　段階的に1日4往復に,2023年8月27日
ピーチ、大阪/関西〜香港線を増便　10月29日から1日3往復,2023年8月27日
ピーチ、国際線2路線で増便　内際機材配分見直し、冬スケジュール運航計画,2023年8月26日
マレーシア航空、日本3路線週21往復を運航　羽田線運休継続、冬スケジュール運航計画,2023年8月26日
シンガポール航空、シンガポール〜ダーウィン線を増便　2024年3月31日から1日1往復,2023年8月25日
"ジェットスター・ジャパン、国内線で「スーパースターセール」　片道3,580円から",2023年8月25日
成田空港T2の制限エリアに2店舗新オープン　秋葉原テーマのショップ、マツキヨも,2023年8月25日
"HondaJetを使用した遊覧フライト、JALふるさと納税で返礼品として出品中　寄附金額1,000万円",2023年8月25日
カタール航空、ドーハ〜成都・重慶線の運航再開　9月から週3往復で,2023年8月25日
エア・カナダ、大阪/関西〜バンクーバー線を季節運休　冬スケジュール運航計画,2023年8月25日
"ソラシドエア、10月〜来年1月搭乗分でセール　羽田発着九州・沖縄線が5,900円から",2023年8月24日
JAL、ボーイング777-200ER型機を11月上旬まで運航へ,2023年8月24日
スカイマーク、羽田〜福岡線など増便　4路線減便、冬スケジュール運航計画,2023年8月24日
ピーチ、「国内線秋冬ぶっ飛びセール」を開催　片道999円から,2023年8月24日
カンタスグループ、エアバスA350型機とボーイング787型機を24機発注,2023年8月24日
中国からの団体旅行解禁　ANA利用の第一号ツアーが羽田に到着,2023年8月23日
ANA、佐賀空港を“一文字違い”の「SEGA空港」に　県に出向中のCAが発案、ソニックも登場,2023年8月23日
