id,named_entity,label,title_id_count,title_id_list
N00001,ANA,Group,204,"['T00001', 'T00003', 'T00005', 'T00006', 'T00012', 'T00013', 'T00015', 'T00019', 'T00020', 'T00023', 'T00024', 'T00029', 'T00033', 'T00040', 'T00042', 'T00044', 'T00047', 'T00054', 'T00055', 'T00063', 'T00066', 'T00068', 'T00070', 'T00072', 'T00075', 'T00076', 'T00079', 'T00085', 'T00115', 'T00123', 'T00129', 'T00142', 'T00145', 'T00158', 'T00196', 'T00199', 'T00219', 'T00221', 'T00257', 'T00266', 'T00273', 'T00278', 'T00278', 'T00279', 'T00279', 'T00293', 'T00296', 'T00326', 'T00328', 'T00373', 'T00392', 'T00398', 'T00434', 'T00443', 'T00489', 'T00496', 'T00508', 'T00512', 'T00543', 'T00543', 'T00555', 'T00570', 'T00573', 'T00573', 'T00575', 'T00597', 'T00622', 'T00629', 'T00652', 'T00661', 'T00662', 'T00672', 'T00678', 'T00678', 'T00684', 'T00686', 'T00686', 'T00689', 'T00697', 'T00715', 'T00725', 'T00730', 'T00738', 'T00738', 'T00752', 'T00758', 'T00761', 'T00762', 'T00768', 'T00774', 'T00789', 'T00793', 'T00864', 'T00899', 'T00902', 'T00915', 'T00915', 'T00930', 'T00945', 'T00954', 'T00960', 'T00960', 'T00962', 'T00984', 'T00984', 'T00992', 'T00998', 'T00998', 'T01001', 'T01010', 'T01022', 'T01023', 'T01026', 'T01073', 'T01079', 'T01079', 'T01081', 'T01116', 'T01121', 'T01122', 'T01134', 'T01151', 'T01158', 'T01165', 'T01191', 'T01192', 'T01193', 'T01204', 'T01214', 'T01249', 'T01251', 'T01257', 'T01260', 'T01261', 'T01264', 'T01265', 'T01273', 'T01285', 'T01303', 'T01304', 'T01317', 'T01319', 'T01320', 'T01323', 'T01325', 'T01326', 'T01329', 'T01353', 'T01354', 'T01375', 'T01402', 'T01402', 'T01417', 'T01425', 'T01428', 'T01431', 'T01446', 'T01456', 'T01464', 'T01480', 'T01482', 'T01483', 'T01483', 'T01500', 'T01500', 'T01509', 'T01509', 'T01522', 'T01530', 'T01537', 'T01553', 'T01554', 'T01569', 'T01572', 'T01573', 'T01581', 'T01582', 'T01589', 'T01589', 'T01591', 'T01603', 'T01613', 'T01630', 'T01642', 'T01653', 'T01658', 'T01660', 'T01692', 'T01702', 'T01706', 'T01724', 'T01731', 'T01738', 'T01743', 'T01752', 'T01752', 'T01757', 'T01760', 'T01776', 'T01788', 'T01791', 'T01791', 'T01796', 'T01797']"
N00002,能登半島地震,Political_Organization_Other,1,['T00001']
N00003,ふるさと納税,Doctrine_Method_Other,1,['T00001']
N00004,JAL,Group,233,"['T00002', 'T00004', 'T00017', 'T00018', 'T00021', 'T00022', 'T00026', 'T00028', 'T00035', 'T00036', 'T00038', 'T00043', 'T00048', 'T00049', 'T00051', 'T00051', 'T00053', 'T00056', 'T00060', 'T00065', 'T00069', 'T00071', 'T00073', 'T00077', 'T00084', 'T00101', 'T00107', 'T00108', 'T00109', 'T00116', 'T00118', 'T00122', 'T00126', 'T00134', 'T00134', 'T00183', 'T00194', 'T00195', 'T00206', 'T00206', 'T00216', 'T00228', 'T00229', 'T00234', 'T00265', 'T00267', 'T00268', 'T00272', 'T00275', 'T00280', 'T00281', 'T00284', 'T00299', 'T00299', 'T00303', 'T00304', 'T00309', 'T00312', 'T00342', 'T00349', 'T00368', 'T00381', 'T00390', 'T00393', 'T00397', 'T00401', 'T00402', 'T00421', 'T00425', 'T00432', 'T00435', 'T00436', 'T00441', 'T00453', 'T00454', 'T00455', 'T00456', 'T00460', 'T00470', 'T00478', 'T00483', 'T00483', 'T00491', 'T00511', 'T00511', 'T00524', 'T00528', 'T00535', 'T00584', 'T00584', 'T00592', 'T00593', 'T00595', 'T00598', 'T00599', 'T00601', 'T00617', 'T00619', 'T00620', 'T00624', 'T00644', 'T00644', 'T00646', 'T00647', 'T00650', 'T00657', 'T00658', 'T00659', 'T00665', 'T00671', 'T00690', 'T00702', 'T00713', 'T00717', 'T00720', 'T00727', 'T00727', 'T00731', 'T00740', 'T00742', 'T00743', 'T00757', 'T00759', 'T00775', 'T00776', 'T00778', 'T00797', 'T00805', 'T00854', 'T00855', 'T00855', 'T00856', 'T00858', 'T00859', 'T00875', 'T00887', 'T00892', 'T00895', 'T00895', 'T00913', 'T00928', 'T00929', 'T00932', 'T00939', 'T00943', 'T00944', 'T00969', 'T00973', 'T00995', 'T01016', 'T01018', 'T01022', 'T01029', 'T01033', 'T01037', 'T01040', 'T01056', 'T01061', 'T01063', 'T01064', 'T01097', 'T01098', 'T01099', 'T01105', 'T01109', 'T01113', 'T01119', 'T01155', 'T01163', 'T01167', 'T01172', 'T01179', 'T01184', 'T01195', 'T01200', 'T01208', 'T01213', 'T01221', 'T01224', 'T01235', 'T01239', 'T01266', 'T01274', 'T01275', 'T01299', 'T01305', 'T01311', 'T01328', 'T01347', 'T01364', 'T01407', 'T01426', 'T01427', 'T01447', 'T01448', 'T01450', 'T01455', 'T01460', 'T01470', 'T01472', 'T01472', 'T01478', 'T01481', 'T01485', 'T01491', 'T01519', 'T01522', 'T01541', 'T01543', 'T01547', 'T01551', 'T01566', 'T01586', 'T01587', 'T01588', 'T01610', 'T01630', 'T01635', 'T01643', 'T01656', 'T01670', 'T01673', 'T01673', 'T01697', 'T01705', 'T01720', 'T01725', 'T01749', 'T01758', 'T01761', 'T01764', 'T01781', 'T01800']"
N00005,羽田発,Company,9,"['T00002', 'T00017', 'T00038', 'T00049', 'T00066', 'T00444', 'T01048', 'T01569', 'T01635']"
N00006,ロンドン,City,16,"['T00002', 'T00017', 'T00038', 'T00049', 'T00157', 'T00277', 'T00311', 'T00536', 'T00666', 'T00698', 'T00746', 'T00755', 'T01355', 'T01534', 'T01569', 'T01699']"
N00007,パリ,City,10,"['T00002', 'T00017', 'T00049', 'T00403', 'T00788', 'T00819', 'T00844', 'T01126', 'T01390', 'T01538']"
N00008,成田,Airport,77,"['T00002', 'T00017', 'T00049', 'T00097', 'T00111', 'T00128', 'T00140', 'T00149', 'T00253', 'T00271', 'T00300', 'T00326', 'T00400', 'T00429', 'T00441', 'T00448', 'T00459', 'T00489', 'T00497', 'T00521', 'T00566', 'T00596', 'T00598', 'T00599', 'T00601', 'T00618', 'T00630', 'T00708', 'T00722', 'T00725', 'T00726', 'T00751', 'T00864', 'T00903', 'T01020', 'T01021', 'T01027', 'T01034', 'T01040', 'T01054', 'T01061', 'T01064', 'T01087', 'T01146', 'T01149', 'T01167', 'T01171', 'T01197', 'T01202', 'T01226', 'T01237', 'T01250', 'T01252', 'T01259', 'T01264', 'T01279', 'T01311', 'T01322', 'T01379', 'T01390', 'T01397', 'T01414', 'T01437', 'T01445', 'T01462', 'T01468', 'T01473', 'T01476', 'T01561', 'T01603', 'T01617', 'T01619', 'T01662', 'T01664', 'T01668', 'T01694', 'T01792']"
N00009,1月8日以降,Date,1,['T00003']
N00010,羽田空港発着便,Pro_Sports_Organization,1,['T00003']
